,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
172,Lasa,40,CY,1536217200,66,34.92,32.53,84.2,11.41
173,Port Augusta,90,AU,1536217200,58,-32.49,137.76,57.2,16.11
174,Najran,0,SA,1536217200,10,17.54,44.22,95.0,11.41
175,Carnarvon,92,ZA,1536220073,100,-30.97,22.13,36.59,4.5
176,Oum Hadjer,12,TD,1536220073,59,13.3,19.7,91.4,7.18
177,Arraial do Cabo,24,BR,1536220074,100,-22.97,-42.02,66.38,8.08
178,Alofi,56,NU,1536217200,78,-19.06,-169.92,73.4,10.29
179,Sobolevo,8,RU,1536220074,68,54.43,31.9,73.85,11.32
180,Mahebourg,75,MU,1536217200,65,-20.41,57.7,78.8,16.11
181,Sovetskaya,8,RU,1536220075,43,44.78,41.17,80.24,20.94
182,Tsumeb,0,NA,1536217200,34,-19.25,17.72,66.2,3.36
183,Cidreira,0,BR,1536220077,95,-30.17,-50.22,50.18,7.85
184,Caravelas,92,BR,1536220077,100,-17.73,-39.27,72.5,17.47
185,Zhongshu,20,CN,1536220078,75,24.52,103.77,75.56,4.5
186,Torbay,90,CA,1536217200,87,47.66,-52.73,55.4,6.93
187,Prince George,1,CA,1536217200,93,53.92,-122.75,41.0,2.15
188,Richards Bay,8,ZA,1536220079,66,-28.77,32.06,75.65,8.41
189,Rocha,8,UY,1536220079,93,-34.48,-54.34,45.68,8.19
190,Barddhaman,88,IN,1536220080,84,23.25,87.85,82.85,23.51
191,Tarumovka,0,RU,1536220080,39,44.07,46.54,83.66,23.51
192,Paracuru,75,BR,1536217200,78,-3.41,-39.03,78.8,12.75
193,Eureka,90,US,1536219300,100,40.8,-124.16,51.08,4.27
194,San Carlos del Zulia,80,VE,1536220082,100,9.0,-71.91,73.49,3.83
195,Kamenka,0,RU,1536220083,38,53.19,44.05,75.92,7.4
196,Khagaria,12,IN,1536220083,72,25.51,86.48,90.41,16.02
197,Palpa,0,PE,1536220083,79,-14.53,-75.19,43.25,0.92
198,Bulawayo,0,ZW,1536220084,29,-20.16,28.59,85.28,13.89
199,Sabha,0,LY,1536220084,18,27.03,14.43,95.72,10.2
200,Aksum,0,ET,1536220084,89,14.12,38.72,72.5,3.38
201,Caruray,92,PH,1536220085,100,10.31,119.01,77.9,15.23
202,Mount Isa,0,AU,1536219000,9,-20.73,139.49,91.4,12.75
203,Pisco,36,PE,1536217200,87,-13.71,-76.2,57.2,2.24
204,Gornopravdinsk,88,RU,1536220086,61,60.06,69.92,67.01,4.61
205,Jieshi,12,CN,1536220086,90,22.82,115.83,84.29,5.95
206,Hanzhong,32,CN,1536220087,75,33.08,107.03,74.21,2.71
207,Makakilo City,1,US,1536217020,66,21.35,-158.09,80.96,4.7
208,La Rioja,0,AR,1536220088,75,-29.41,-66.86,54.68,4.27
209,Port-Gentil,90,GA,1536217200,88,-0.72,8.78,77.0,11.41
210,Henties Bay,8,NA,1536220089,95,-22.12,14.28,56.12,18.37
211,Jalingo,68,NG,1536220089,100,10.3,10.93,75.2,4.94
212,Masuguru,48,MZ,1536220090,96,-11.38,38.46,75.2,1.25
213,Talnakh,92,RU,1536220090,95,69.49,88.39,41.0,9.42
214,Chokurdakh,64,RU,1536220091,67,70.62,147.9,50.09,5.73
215,Nandu,48,CN,1536217200,69,31.44,119.33,82.4,6.71
216,Ketou,92,BJ,1536220092,100,7.36,2.6,74.12,4.83
